Column1,Column2
13:18:56,2.0
13:59:08,2.1
15:35:18,2.0
15:59:19,1.9
16:35:20,1.8
16:59:20,1.7
17:19:22,1.6
17:59:26,1.5
18:19:27,1.6
18:45:28,1.4
18:55:28,1.3
19:09:30,1.2
19:19:30,0.9
19:29:30,0.8
19:45:36,0.7
20:05:37,0.8
20:19:37,0.9
20:45:38,1.0
20:55:38,1.1
21:45:39,1.2
21:59:40,1.3
22:09:41,1.4
22:45:41,1.6
22:55:41,1.8
23:09:41,2.0
23:19:41,2.2
23:29:41,2.4
23:45:41,2.5
23:55:41,2.7
00:05:41,2.9
00:19:41,3.0
00:29:41,3.1
00:39:41,3.2
00:55:41,3.3
01:05:41,3.4
01:45:41,3.5
02:35:50,3.5
11:26:05,5.1
11:50:06,5.0
12:46:08,4.9
13:26:10,5.0
14:06:10,4.9
15:40:13,4.8
16:50:15,4.9
18:16:18,4.8
18:30:18,4.9
18:56:21,4.8
19:36:25,4.9
19:46:25,5.0
21:06:26,4.9
